Summary,Category
"  SEC v. Jorge Gomez and Roberto Aleph Espinosa (United States District Court for the Southern District of Florida, Civil Action No. 1:12-CV-21962  SEC CHARGES TWO INVESTMENT ADVISERS WITH FRAUD  The Securities and Exchange Commission today charged Jorge Gomez, an investment adviser formerly located in Dallas, Texas and Mexico, with perpetrating a fraudulent scheme to misappropriate millions from an investment advisory client (âClientâ). The SEC also has agreed to settle related charges against Roberto Aleph Espinosa, a former resident of Miami, Florida, who, in conjunction with Gomez, provided investment advisory and brokerage services to the Client.  In the complaint filed in the U.S. District Court for the Southern District of Florida, the SEC alleges that&nbsp;in 2007, Gomez, age 42, the president of Atlantic International Capital LLC (âAtlanticâ), lured the Client, a Mexican national, to invest $10.8 million with him by making false claims about his affiliation with two large financial institutions and the Clientâs proposed relationship with those entities.  According to the SECâs complaint, Gomez misappropriated at least $4.3 million from this Client between September 2007 and December 2010. Gomez concealed his misappropriation by providing the Client with fake account statements and securities certificates. Gomez also sent correspondence to the Client misrepresenting, among other things, his ability to withdraw money from his account.  The SEC alleges, among other things, that Espinosa, age 37, the president of now defunct Florida corporation Aleph Consulting Group LLC (âAlephâ), and Gomez invested approximately $3 million of the Clientâs funds in the ACG Global Fund, Ltd., a hedge fund started by Espinosa and managed by Aleph. Aleph received retrocession fees in connection with the purchase of certain securities that were not disclosed to any of the hedge fund investors, including the Client.  The complaint also alleges that Espinosa forwarded to the foreign financial services firm holding the Clientâs brokerage account scores of withdrawal requests signed by Gomez directing the Clientâs funds to Gomez controlled accounts, while simultaneously failing to discuss Gomezâs depletion of the account with the Client in breach of his fiduciary duties.  The Commissionâs complaint charges Gomez with violations of Section 10(b) of the Securities Exchange Act of 1934 (âExchange Actâ) and Rule 10b-5(a), (b), and (c) thereunder; and Sections 206(1) and 206(2) of the Investment Advisers Act of 1940 (âAdvisers Actâ). The complaint charges Espinosa with violations of Section 15(a) of the Exchange Act and Sections 206(1), (2), and (4) of the Advisers Act and Rule 206(4)-8 thereunder. The Commissionâs complaint alleges in the alternative that Gomez aided and abetted Atlanticâs Advisers Act violations and that Espinosa aided and abetted Alephâs Advisers Act violations. The Commission is seeking permanent injunctions against Gomez for violating or aiding and abetting the violations of the above provisions of the securities laws, disgorgement of ill-gotten gains plus pre-judgment interest, and civil penalties. Espinosa has agreed to a settlement with the SEC, without admitting or denying the allegations of the complaint, that includes a permanent injunction against future violations of Exchange Act Section 15(a) and Advisers Act Sections 206(1), (2), and (4) and Rule 206(4)-8, disgorgement of $855,000 plus prejudgment interest of $34,822.15 and a one-time civil penalty of $130,000.  The Commissionâs investigation is continuing.   SEC Complaint   &nbsp;  http://www.sec.gov/litigation/litreleases/2012/lr22376.htm     Home | Previous Page Modified: 05/29/2012",
"  Securities and Exchange Commission v. GLR Capital Management, LLC, GLR Advisors, LLC, Geringer, Luck &amp; Rode LLC,  John A. Geringer, and Relief Defendant GLR Growth Fund, L.P., Civil Action No. 12-02663 (U.S. District Court for the Northern District of California, filed May 24 )  SEC CHARGES NORTHERN CALIFORNIA FUND MANAGER IN $60 MILLION SCHEME  On May 24 , the Securities and Exchange Commission charged an investment adviser in Scotts Valley, Calif., with running a $60 million investment fund like a Ponzi scheme and defrauding investors by touting imaginary trading profits instead of reporting the actual trading losses he had incurred.  The SEC alleges that John A. Geringer, who managed the GLR Growth Fund (Fund), used false and misleading marketing materials to lure investors into believing that the Fund was earning double-digit annual returns by investing 75% of its assets in investments tied to well-known stock indices like the S&amp;P 500, NASDAQ, and Dow Jones.  In reality, Geringer&#8217;s trading generated consistent losses and he eventually stopped trading entirely.  To mask his fraud, Geringer paid millions of dollars in &#8220;returns&#8221; to investors largely by using money received from newer investors.  He also sent investors periodic account statements showing fictitious growth in their investments.  According to the SEC&#8217;s complaint filed in federal court in San Jose, Geringer raised more than $60 million since 2005, mostly from investors in the Santa Cruz area.  Geringer used fraudulent marketing materials claiming that the Fund had between 17 and 25 percent annual returns in every year of the Fund&#8217;s operation through investments tied to major stock indices.  Although the Fund was started in 2003, marketing materials claimed 25 percent returns in 2001 and 2002 &#8211; before the Fund even existed.  The marketing materials also falsely indicated a nearly 24 percent return in 2008 from investing mainly in publicly traded securities, options, and commodities, while the S&amp;P 500 Index lost 38.5 percent.  The SEC alleges that Geringer&#8217;s actual securities trading was unsuccessful, and by mid-2009 the Fund did not invest in publicly traded securities at all.  Instead, the Fund invested heavily in illiquid investments in two private startup technology companies.  The rest of the money was paid to investors in Ponzi-like fashion and to three entities Geringer controlled that also are charged in the SEC&#8217;s complaint.  According to the SEC&#8217;s complaint, Geringer further lied to investors on account statements that falsely claimed &#8220;MEMBER NASD AND SEC APPROVED.&#8221;  The SEC does not &#8220;approve&#8221; funds or investments in funds, nor was the Fund (or any related entity) a member of the NASD (now called the Financial Industry Regulatory Authority &#8211; FINRA).  Geringer also falsely claimed that the Fund&#8217;s financial statements were audited annually by an independent accountant.  No such audits were performed.       The SEC&#8217;s complaint alleges Geringer and three related entities violated or aided and abetted violations of Section 17(a) of the Securities Act of 1933, Section 10(b) of the Securities Exchange Act of 1934 (Exchange Act) and Rule 10b-5 thereunder, and Section 206(1), (2), and (4) of the Investment Advisers Act of 1940 and Rule 206(4)-8 thereunder.  The complaint also alleges the defendants violated or aided and abetted violations of  Section 26 of the Exchange Act, which bars persons from claiming the SEC has passed on the merits of a particular investment.  The SEC&#8217;s complaint names the Fund as a relief defendant.  The complaint seeks preliminary and permanent injunctions, disgorgement of ill-gotten gains, civil monetary penalties, and other relief.  Geringer, the Fund, and two of the GLR entities consented to the entry of a preliminary injunction and a freeze on the Fund&#8217;s bank account.    The SEC&#8217;s investigation, which is continuing, has been conducted by Robert J. Durham and Robert S. Leach of the San Francisco Regional Office.  The SEC&#8217;s litigation will be led by Sheila O&#8217;Callaghan of the San Francisco Regional Office.  The SEC thanks the U.S. Attorney&#8217;s Office for the Northern District of California, Federal Bureau of Investigation, and FINRA for their assistance in this matter.      SEC Complaint    &nbsp;    &nbsp;  http://www.sec.gov/litigation/litreleases/2012/lr22375.htm     Home | Previous Page Modified: 05/24/2012",
"  SEC v. Stephen H. Guth, Civil Action No. 1:12-cv-00842 (RBW) (D.D.C. filed May24 )  Stephen H. Guth Settles SEC Insider Trading Charge Concerning Omrix Tender Offer  The U.S. Securities and Exchange Commission today filed a settled civil injunctive action in the U.S. District Court for the District of Columbia alleging that Stephen H. Guth violated Section 14(e) of the Securities Exchange Act of 1934 and Rule 14e-3 promulgated thereunder, by buying Omrix Biopharmaceuticals, Inc. common stock ahead of a November 2008 public announcement that Johnson &amp; Johnson, Inc. was making a tender offer for the outstanding shares of Omrix stock. Guth, a U.S. citizen residing in the United Kingdom, is a self-employed consultant and had been the Chief Financial Officer of Omrix from 1996 to 2000.  The Commissionâs complaint alleges the following: On October 3, 2008, after Johnson &amp; Johnson had taken substantial steps to commence the tender offer, Guth received an unsolicited communication from the Chief Executive Officer of Omrix requesting assistance with due diligence questions pertaining to transactions that occurred while Guth worked for the company. In October and November 2008, the Chief Executive Officer of Omrix had additional communications with Guth related to due diligence questions. As a result of his communications with the Omrix CEO, Guth learned that an acquisition of Omrix was likely, and he purchased 7,000 shares of Omrix common stock. Guth purchased Omrix securities while in possession of material information relating to the tender offer, which he knew or had reason to know was nonpublic and had been acquired from an officer of the issuer whose securities were to be sought. On November 23, 2008, Omrix and Johnson &amp; Johnson jointly announced the tender offer. Thereafter, defendant Guth tendered his shares of Omrix stock, realizing profits exceeding $60,000.  Without admitting or denying the allegations in the Commissionâs complaint, Guth has consented to entry of a proposed Final Judgment that would enjoin him from future violations of Section 14(e) of the Exchange Act and Rule 14e-3 thereunder, order him to disgorge $63,517, with prejudgment interest of $7,695.49; and impose a civil penalty of $31,758. The proposed settlement is subject to the approval of the district court.   SEC Complaint  &nbsp;  http://www.sec.gov/litigation/litreleases/2012/lr22374.htm     Home | Previous Page Modified: 05/24/2012",
"  Securities and Exchange Commission v. Mark F. Spangler and The Spangler Group, Inc., Civil Action No. 2:12-cv-00856 (U.S. District Court for the Western District of Washington, filed May 17 2012)  SEC CHARGES SEATTLE-BASED FUND MANAGER FOR SECRETLY DIVERTING CLIENT FUNDS TO HIS OWN START-UP COMPANIES  On May 17 2012, the Securities and Exchange Commission charged a Seattle-based financial adviser and his firm with defrauding clients by secretly investing their money in two risky start-up companies he co-founded.  The SEC alleges that Mark Spangler, a former chairman of the National Association of Personal Financial Advisors, funneled approximately $47.7 million of client money into these private ventures despite representing that he would invest primarily in publicly traded securities. Spangler served as chairman and CEO of one of the companies, which is now bankrupt. Such risky investments were inconsistent with the investment strategies that Spangler promised his clients and contrary to their investment objectives.  The U.S. Attorneyâs Office for the Western District of Washington also announced parallel criminal charges against Spangler.  According to the SECâs complaint filed in federal court in Seattle, Spangler raised more than $56 million from his clients since 1998 for several private investment funds he managed. Beginning around 2003, without notifying investors in the funds, Spangler and his advisory firm The Spangler Group (TSG) began diverting the majority of client money into two private technology companies he created. One of the companies received nearly $42 million from the funds before shutting down operations. It had long been a cash-poor company with a history of net losses, generating less than $100,000 in revenue during its 11-year history. Yet Spangler continued to treat the funds as the companyâs piggy bank.  The SEC alleges that Spangler also did not tell investors that TSG collected fees for âfinancial and operational supportâ from these companies, which were essentially paying these fees with the client money they had received from the funds. Therefore, Spangler and his firm secretly reaped $830,000 from the companies in addition to any management fees that TSG received from clients.  According to the SECâs complaint, Spangler concealed his diversion of client funds for years. He disclosed it only after he placed TSG and the funds he managed into state court receivership in 2011.  The SECâs complaint charges Spangler and TSG with violating, among other things, the antifraud provisions of the Securities Exchange Act of 1934 and the Investment Advisers Act of 1940. The complaint seeks injunctive relief, disgorgement with prejudgment interest, and financial penalties.  The SECâs investigation was conducted by Karen Kreuzkamp and Robert S. Leach of the San Francisco Regional Office with assistance from Michael Tomars, Peter Bloom, and Christine Pelham of the investment adviser/investment company examination program. Robert L. Tashjian will lead the SECâs litigation.  The SEC thanks the U.S. Attorneyâs Office for the Western District of Washington, the Federal Bureau of Investigation, and the Internal Revenue Service for their assistance in this matter.  # # #   SEC Complaint   &nbsp;  http://www.sec.gov/litigation/litreleases/2012/lr22371.htm     Home | Previous Page Modified: 05/18/2012",
"  Securities and Exchange Commission v. Frank Lynn Blystone, United States District Court for the Eastern District of California, Case No. 1:12-CV-00774 LJO (GSAx) (May 10 ).  SEC CHARGES FORMER OIL COMPANY EXECUTIVE WITH INSIDER TRADING   The Securities and Exchange Commission today announced charges against a former executive at a Bakersfield, Calif.-based oil and gas production company for insider trading in his company&#8217;s stock using confidential information received while he was the CEO and chairman of the board.   The Commission alleges that Frank Lynn Blystone received e-mail updates prior to his March 5, 2010, retirement from Tri-Valley Corporation that contained confidential information about the company&#8217;s ongoing efforts to raise capital and problems it had encountered in a securities offering.  Based on the non-public information he received, Blystone liquidated stock he held in a brokerage account shortly before a Tri-Valley announcement on April 6, 2010, that it had entered into an agreement with six institutional investors to sell its securities at a deep discount from the prevailing market price.  Blystone avoided losses of approximately $36,000 when the company&#8217;s stock price fell 38 percent after the announcement.    Blystone has agreed to pay $75,000 to settle the Commission&#8217;s charges without admitting or denying the allegations.  According to the Commission&#8217;s complaint filed in the U.S. District Court for the Eastern District of California, based on the confidential information he received, Blystone concluded that the terms of a contemplated securities offering by Tri-Valley would be onerous.  He foresaw that either the company&#8217;s securities would be sold at a discount to the market price or additional securities would be issued if the price of the stock fell, which would dilute the value of Tri-Valley&#8217;s stock.  After leaving the company, Blystone&#8217;s concerns about Tri-Valley&#8217;s securities offering were reinforced when he learned of plans to sell two oil drilling leases in what he characterized in an e-mail to a friend as a &#8220;fire sale.&#8221;  Therefore, Blystone liquidated 50,100 shares of Tri-Valley stock that he held in a brokerage account.  He sold 90 percent of those shares on April 5, the day before Tri-Valley&#8217;s public announcement.  The complaint charges Blystone with violating Section 17(a)(1) and (3) of the Securities Act of 1933, Section 10(b) of the Securities Exchange Act of 1934, and Rule 10b-5(a) and (c) thereunder.  Blystone agreed to pay disgorgement of $36,267, prejudgment interest of $2,493, and a penalty of $36,267.  He also agreed to the entry of a final judgment permanently enjoining him from violating Section 17(a) of the Securities Act, Section 10(b) of the Exchange Act and Rule 10b-5 and barring him from serving as an officer or director of a public company.  The settlement is subject to court approval.    SEC Complaint    &nbsp;    &nbsp;  http://www.sec.gov/litigation/litreleases/2012/lr22367.htm     Home | Previous Page Modified: 05/11/2012",
"  Securities and Exchange Commission v. Apartments America, LLC, Michael J. Stewart, John J. Packard, Randall A. Smith, Civil Action No. SACV 12-754 DOC (ANx) (C.D. Cal.)  SEC CHARGES APARTMENTS AMERICA AND ITS OWNERS IN SCHEME TO DEFRAUD INVESTORS  On May 10 , the Securities and Exchange Commission charged a California-based real estate company and its owners with defrauding potential investors by boasting a false company track record to tout their purported real estate expertise while concealing the bankruptcy of their previous company.  The SEC alleges that Michael J. Stewart, John J. Packard, and Randall A. Smith created Apartments America, LLC to pool investor proceeds from an unregistered offering of securities and invest primarily in apartment buildings in Southern California and Arizona.  They solicited potential investors through a website, Internet advertisements and postings, cold calls, solicitation letters, and advertising in a national newspaper.  They boasted a track record of producing more than a 60 percent annual return on investment and creating more than $100 million in net equity.    According to the SEC&#8217;s complaint filed in federal court in Orange County, California, what potential investors did not know is that Apartments America was a new company with no assets and no track record.  Stewart, Packard, and Smith were merely using the same investment strategy and selective statistics from their prior bankrupt company that had defaulted on $91.6 million in promissory notes held by 647 investors.  According to the SEC&#8217;s complaint, Stewart lives in San Clemente, California, and Packard and Smith each live in Long Beach, California.  Together they formed Apartments America in September 2009, just three months after Pacific Property Assets (PPA) filed for bankruptcy.  Stewart and Packard owned PPA and Smith worked for them.  In the months prior to defaulting on its promissory notes, PPA was actively soliciting investor funds and promising an annual interest rate of 24 to 30 percent.    The SEC alleges that under Apartments America, whose securities have never been registered with the SEC, Stewart, Packard, and Smith similarly solicited investor funds with the same plan to purchase apartment buildings.  But they engaged in a concerted scheme to distance themselves from PPA and its bankruptcy.  In communications to potential investors, they selectively and misleadingly used some of PPA&#8217;s historic investments and touted them as Apartments America data.  For instance, they arrived at their fabricated statistic of a 60 percent annual return on investment by cherry-picking PPA&#8217;s successful property investments while omitting the losses incurred on more than 50 properties in PPA&#8217;s portfolio at the time of its bankruptcy.  Stewart, Packard, and Smith also misrepresented that they had created more than $100 million in net equity by calculating some of PPA&#8217;s property investments while omitting information about its bankruptcy and the losses on its bankrupt properties.  They also falsely represented to potential investors that they were managing a property portfolio valued at more than $200 million when that in fact referred to PPA&#8217;s bankrupt property portfolio, which was actually being managed by the bankruptcy trustee.  The Commission&#8217;s complaint, filed in U.S. District Court in Orange County, California, charges all defendants with violations of Sections 5(c), 17(a)(1), and 17(a)(3) of the Securities Act of 1933.  The Commission also seeks permanent injunctions against all defendants, and conduct-based injunctions against Stewart, Packard, and Smith, prohibiting them or any entity they own or control from offering unregistered securities.  In addition, the Commission seeks disgorgement of ill-gotten gains with prejudgment interest and civil penalties against all defendants.    SEC Complaint    &nbsp;    &nbsp;  http://www.sec.gov/litigation/litreleases/2012/lr22365.htm     Home | Previous Page Modified: 05/11/2012",
"  Securities and Exchange Commission v. Dr. Bobby V. Khan, Civil Case No. 1:10-cv-2865-JOF (N.D. Ga.)  GEORGIA DOCTOR CONSENTS TO ORDER IN SETTLEMENT OF SEC INSIDER TRADING CHARGES  On May 10 , the U.S. District Court for the Northern District of Georgia entered a consent order requiring, among other things, that Defendant Dr. Bobby V. Khan, a Georgia-based doctor, pay more than double the amount of his trading profits obtained through alleged insider trading.  The Commission filed charges against Dr. Bobby V. Khan in September 2010, alleging that he traded illegally in the stock of Georgia-based pharmaceutical company Sciele Pharma, Inc. on the basis of nonpublic information he received just days before the public announcement of a tender offer by a Japanese company to purchase all of that companyâs shares. Khan obtained confidential details about the acquisition from a longtime business associate and friend who was a senior officer at Sciele. Khan subsequently opened an online brokerage account for the first time in several years, transferred approximately one-third of his liquid net worth into it, and purchased 4,000 shares of Sciele stock just days before the tender offerâs public announcement. Khan sold all of his shares after the announcement for an illicit profit of $47,171.  Without admitting or denying the Commissionâs allegations, Dr. Khan agreed, as set forth in the Courtâs order, to pay a total of $100,857.79, consisting of disgorgement, prejudgment interest thereon, and a civil penalty. Dr. Khan also consented to permanent injunctions against violations of Sections 10(b) and 14(e) of the Exchange Act and Rules 10b-5 and 14e-3 thereunder.  The Commission appreciates the assistance of the Financial Industry Regulatory Authority (FINRA) in this matter.   SEC Complaint   &nbsp;  http://www.sec.gov/litigation/litreleases/2012/lr22364.htm     Home | Previous Page Modified: 05/10/2012",
"  Securities and Exchange Commission v. Gerald D. Kegley, et al., Case No. 1:12-CV-1605 (N.D. Ga)  SEC Charges Arizona Resident with Securities Fraud  The Securities and Exchange Commission (&#8220;Commission&#8221;) filed a civil injunctive action in Atlanta, Georgia on May 8, 2102, alleging that Gerald D. Kegley (&#8220;Kegley&#8221;) and the company he operates, Prism Financial Services, LLC (&#8220;Prism&#8221;), participated in a fraudulent &#8220;Prime Bank&#8221; scheme that violated the antifraud and securities and broker dealer registration provisions of the federal securities laws.    The Commission&#8217;s complaint alleges that from at least April 8, 2010 through at least August 20, 2010, the defendants were directly responsible for introducing six individuals, who invested $1.95 million, to the fraudulent scheme.  The complaint alleges that in furtherance of the scheme, the defendants forwarded misrepresentations made by others to investors.  These misrepresentations included:  1) that investors could draw upon bank issued guarantees worth millions of dollars without having to repay the withdrawn funds; and 2) that investor funds would be held in escrow until the bank guarantees were issued.  The complaint alleges that defendants knew or were reckless in not knowing that both of these representations were false because no such bank guarantees existed and investor funds were misappropriated immediately upon receipt.  Defendants also misrepresented that they would be paid commissions only once the investor received the bank guarantee.  In fact, defendants were paid commissions relatively soon after the investors transferred the money.  Defendants further told investors that they had previously worked on a successful bank guarantee program.  Defendants, however, had actually reported this purportedly successful bank guarantee program to the Federal Bureau of Investigation because they believed it was a fraud.   In its Complaint, the Commission alleges that the defendants violated Sections 5(a) and (c) and 17(a) of the Securities Act of 1933, Sections 10(b) and 15(a) of the Securities Exchange Act of 1934 and Rule 10b-5 promulgated thereunder.  The Commission also alleges that defendants aided and abetted violations of Section 17(a) of the Securities Act and Section 10(b) of the Exchange Act and Rule 10b-5 thereunder.    SEC Complaint    &nbsp;    &nbsp;  http://www.sec.gov/litigation/litreleases/2012/lr22361.htm     Home | Previous Page Modified: 05/08/2012",
"   Securities and Exchange Commission v. RKC Capital Management, LLC, RKC Capital, LLC, and Russell K. Cannon, Case No. 2:12-cv-00408-BCW (USDC Utah, filed April 30 )  SEC FILES INJUNCTIVE ACTION AGAINST INVESTMENT ADVISERS RKC CAPITAL MANAGEMENT, LLC, RKC CAPITAL LLC, AND RUSSELL K. CANNON  The Securities and Exchange Commission announced the filing of a Complaint in federal district court against RKC Capital Management LLC, RKC Capital, LLC (&#8220;RKC&#8221;) and Russell K. Cannon (&#8220;Cannon&#8221;), (collectively &#8220;Defendants&#8221;).  The Complaint alleges that the Defendants artificially inflated the assets of a hedge fund they managed, RKC Matador Fund LLC (&#8220;Matador&#8221;), to defraud Matador investors.  The Complaint alleges that from at least November 2007 through July 2011, Defendants engaged in fraudulent conduct to overstate the assets under management of Matador.  Defendants did this through causing the price of Matador&#8217;s largest holding, stock in Global Pari Mutuel Services, Inc. (&#8220;Global&#8221;), to artificially increase by &#8220;marking the close&#8221; of Global&#8217;s stock.  Marking the close is a manipulative trading practice designed to cause the price of a stock to rise at the close of the market.  The Defendants also falsely inflated the fund&#8217;s assets by instructing Matador&#8217;s fund administrator to record the price of Matador&#8217;s holdings in Global above the actual market price for approximately 15 months.  Cannon also misused RKC&#8217;s client accounts to aid his practice of marking the close and to enhance Matador&#8217;s profits.   According to the Commission&#8217;s Complaint filed in U.S. District Court for the District of Utah, the Defendants falsely represented to investors that Matador&#8217;s assets under management and performance returns were greater than they actually were.  In fact, at its peak, Matador&#8217;s assets under management were overstated by over 100% and its performance returns were significantly overstated for several months.  In addition, investor statements the Defendants provided to Matador investors, which reflected the holdings and performance of persons who invested in Matador, were also significantly overstated.  The Defendants made these misrepresentations to investors to convince investors to invest in Matador and to obtain excessive advisory fees.  The Commission&#8217;s Complaint seeks to enjoin the Defendants from future violations of Sections 17(a) of the Securities Act of 1933, Section 10(b) of the Exchange Act and Rule 10b-5 thereunder, and Sections 206(1), (2) and (4) of the Advisers Act of 1940 and Rule 206(4)-8 thereunder, and seeks the payment of disgorgement and civil penalties.    SEC Complaint    &nbsp;    &nbsp;  http://www.sec.gov/litigation/litreleases/2012/lr22353.htm     Home | Previous Page Modified: 05/01/2012",
"  Securities and Exchange Commission v. Michael J. McNerney, Civil Action No. 1:12-cv-21627   SEC FILES CHARGES AGAINST FORMER ATTORNEY FOR MUTUAL BENEFITS  The Securities and Exchange Commission announced today that it filed a complaint against Defendant Michael J. McNerney, charging him with violations of the federal securities laws arising from his involvement in Mutual Benefits Corp.&rsquo;s (&ldquo;MBC&rdquo;) offering fraud which raised more than $1 billion from approximately 29,000 investors. From 1995 through at least May 2004, McNerney served as primary securities regulatory counsel for MBC. The complaint alleges thatin this role, he helped conceal the fraud, met with investors, and supervised the filing of false reports with state regulators. The Commission&rsquo;s complaint charges McNerney with aiding and abetting MBC&rsquo;s violations of Section 10(b) and Rule 10b-5 of the Securities Exchange Act of 1934. The Commission seeks permanent injunctive relief against McNerney, who has consented to the entry of Final Judgment providing for full injunctive relief.    In addition to the civil action against McNerney, the Commission simultaneously issued an Order pursuant to Rule 102(e)(2) of the Commission&rsquo;s Rules of Practice forthwith suspending McNerney from appearing or practicing before the Commission based on the entries of a felony conviction against him. On August 26, 2011, the Honorable Adalberto Jordan, United States District Judge for the Southern District of Florida, sentenced McNerney to 5 years in prison, followed by three years of supervised release, and ordered him to pay restitution, along with his co-conspirators, in the amount of $826,839,642.   On May 3, 2004, the Commission first halted the on-going fraud at MBC when it filed a contested emergency civil enforcement action against MBC and its principals. In its complaint, the Commission alleged that the defendants raised over $1 billion from thousands of investors through a fraudulent, unregistered offering of securities in the form of fractionalized interests in viatical and life settlements. The Commission obtained a restraining order to halt the alleged fraud at MBC, and thereafter the United States District Court for the Southern District of Florida appointed a receiver to identify and trace the assets of MBC.    The Commission&rsquo;s actions regarding MBC have resulted in nine injunctions and other relief against nine defendants and eight relief defendants, and orders to pay disgorgement and civil penalties totaling $30 million. In addition, the United States Attorney&rsquo;s Office for the Southern District of Florida has charged 12 defendants in criminal actions for their roles in the fraud.    The SEC acknowledges the work of the United States Attorney&rsquo;s Office for the Southern District of Florida, the Federal Bureau of Investigation, Miami Field Office, and the Internal Revenue Service, Criminal Investigation Division in this matter. For additional information see Litigation Release No. 18698 (May 6, 2004), Litigation Release No.  19274 (June 20, 2005), Litigation Release No.  19480 (December 1, 2005), Litigation Release No.  19978 (January 24, 2007), Litigation Release No.  20151 (June 13, 2007), Litigation Release No.  20459 (February 15, 2008), Litigation Release No.  20521 (April 7, 2008), and Litigation Release No.  20521 (April 7, 2008), and Litigation Release No. 22084 (September 7, 2011).    SEC Complaint in this matter     &nbsp;  http://www.sec.gov/litigation/litreleases/2012/lr22350.htm     Home | Previous Page Modified: 04/30/2012",
